epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,35.6585,2.51644,3.88981,0.6901,1.75609,2.57615,0.09091,0.04348,0.08834,0.01832,0,0,0,0,2.88318,6.10087,0.70308,2.26303,3.43058,0.000581944,0.000581944,0.000581944
33,36.565,2.3917,5.09463,0.69701,2.04039,2.60618,0.28271,0.04348,0.09267,0.03707,0,0,0,0,2.84351,6.12084,0.70265,2.23824,3.38698,0.00059945,0.00059945,0.00059945
34,37.4876,2.03496,5.26077,0.70194,1.63022,2.29182,0.33333,0.13043,0.2334,0.0812,0,0,0,0,2.76536,6.02206,0.70124,2.18665,3.32792,0.000616876,0.000616876,0.000616876
35,38.4029,2.21522,4.03994,0.68706,1.84589,2.48801,0.4375,0.30435,0.3198,0.12056,0.0625,0.04348,0.03389,0.01017,2.74399,5.93285,0.70118,2.09193,3.27401,0.000634222,0.000634222,0.000634222
36,39.2828,1.88708,4.22486,0.70603,1.44657,2.3071,0.38889,0.30435,0.31503,0.1035,0.05556,0.04348,0.03148,0.0063,2.82161,5.85036,0.6994,2.06897,3.27824,0.00065149,0.00065149,0.00065149
37,40.1701,2.19757,5.0898,0.69134,1.75459,2.46616,0.33333,0.26087,0.27056,0.1028,0.18658,0.04348,0.04148,0.0083,2.90258,5.76692,0.70054,2.08697,3.32642,0.000668678,0.000668678,0.000668678
38,41.0875,1.82743,4.58214,0.69232,1.48475,2.1628,0.45455,0.21739,0.30665,0.15747,0.27273,0.13043,0.20263,0.03857,2.96989,5.76549,0.70343,2.05518,3.38379,0.000685788,0.000685788,0.000685788
39,41.9511,1.80997,4.37732,0.69735,1.36244,2.22823,0.5996,0.17391,0.3754,0.19607,0.49719,0.13043,0.29688,0.05826,3.0034,5.6671,0.70349,2.05148,3.45037,0.000702818,0.000702818,0.000702818
40,42.9268,1.93033,4.89461,0.6885,1.53552,2.22292,0.58333,0.30435,0.45501,0.24506,0.52727,0.13043,0.2088,0.04041,2.92371,5.67224,0.70143,1.994,3.36548,0.000719768,0.000719768,0.000719768
41,43.9488,1.98018,4.33144,0.68317,1.5836,2.33389,0.5,0.3913,0.4682,0.20848,0.54733,0.13043,0.17295,0.04372,2.83761,5.64433,0.69698,1.96788,3.27762,0.00073664,0.00073664,0.00073664
